Date,AAPL,AMZN,GOOGL,JPM,MSFT
2022-05-16,143.24192810058594,110.81050109863281,113.76272583007812,108.4297103881836,254.4382781982422
2022-05-17,146.8834991455078,115.36849975585938,115.77863311767578,112.02386474609375,259.61456298828125
2022-05-18,138.59646606445312,107.11250305175781,111.23240661621094,110.10758972167969,247.79441833496094
2022-05-19,135.1812286376953,107.31900024414062,109.72593688964844,108.47554779052734,246.87765502929688
2022-05-20,135.4174346923828,107.59100341796875,108.25872802734375,107.586181640625,246.31198120117188
2022-05-23,140.85031127929688,107.55699920654297,110.82335662841797,114.24272155761719,254.20188903808594
2022-05-24,138.14370727539062,104.0999984741211,105.33824920654297,115.85640716552734,253.19732666015625
2022-05-25,138.30120849609375,106.7750015258789,105.17424011230469,116.66326904296875,256.0256042480469
2022-05-26,141.5097198486328,111.07749938964844,107.14990234375,118.6803970336914,259.32196044921875
2022-05-27,147.27720642089844,115.14649963378906,111.64691162109375,120.35826873779297,266.48046875
2022-05-31,146.4898223876953,120.20950317382812,113.08380889892578,121.23845672607422,265.144287109375
2022-06-01,146.36187744140625,121.68399810791016,113.21302032470703,119.11131286621094,265.68072509765625
2022-06-02,148.82241821289062,125.51100158691406,116.92127990722656,121.0276107788086,267.78729248046875
2022-06-03,143.08445739746094,122.3499984741211,113.85814666748047,119.34054565429688,263.340087890625
2022-06-06,143.8324432373047,124.79000091552734,116.12406921386719,118.94627380371094,262.1015319824219
2022-06-07,146.36187744140625,123.0,116.45110321044922,119.25801849365234,265.75872802734375
2022-06-08,145.6237030029297,121.18000030517578,116.4953384399414,117.3600845336914,263.7204284667969
2022-06-09,140.3876953125,116.1500015258789,114.15089416503906,114.8936767578125,258.2394714355469
2022-06-10,134.9647216796875,109.6500015258789,110.4988021850586,109.61248016357422,246.73138427734375
2022-06-13,129.79763793945312,103.66999816894531,105.75822448730469,106.34839630126953,236.266845703125
2022-06-14,130.66372680664062,102.30999755859375,106.07930755615234,104.57884216308594,238.441650390625
2022-06-15,133.2915496826172,107.66999816894531,109.11013793945312,105.81663513183594,245.53179931640625
2022-06-16,128.00633239746094,103.66000366210938,105.4013671875,104.00121307373047,238.90982055664062
2022-06-17,129.48265075683594,106.22000122070312,106.50475311279297,103.63445281982422,241.52346801757812
2022-06-21,133.72459411621094,108.68000030517578,110.87902069091797,106.20170593261719,247.4628143310547
2022-06-22,133.21282958984375,108.94999694824219,110.82286071777344,105.6057357788086,246.867919921875
2022-06-23,136.0867462158203,112.44000244140625,111.5728530883789,104.45046997070312,252.4561767578125
2022-06-24,139.4232177734375,116.45999908447266,117.27168273925781,107.5678482055664,261.07745361328125
2022-06-27,139.4232177734375,113.22000122070312,115.14295196533203,106.70597839355469,258.3370361328125
2022-06-28,135.26983642578125,107.4000015258789,111.33976745605469,106.19254302978516,250.13507080078125
2022-06-29,137.03158569335938,108.91999816894531,111.03558349609375,105.71575927734375,253.821533203125
2022-06-30,134.56118774414062,106.20999908447266,108.31340026855469,103.24935913085938,250.47637939453125
2022-07-01,136.7362823486328,109.55999755859375,108.0892562866211,104.56966400146484,253.15830993652344
2022-07-05,139.32476806640625,113.5,112.58777618408203,104.17192840576172,256.3474426269531
2022-07-06,140.6632843017578,114.33000183105469,113.88896942138672,103.49668884277344,259.6243591308594
2022-07-07,144.03915405273438,116.33000183105469,118.07485961914062,106.11439514160156,261.7601623535156
2022-07-08,144.71824645996094,115.54000091552734,118.64195251464844,105.78140258789062,261.03851318359375
2022-07-11,142.5824737548828,111.75,114.98688507080078,104.39391326904297,257.96636962890625
2022-07-12,143.55686950683594,109.22000122070312,113.34076690673828,104.49567413330078,247.39456176757812
2022-07-13,143.19273376464844,110.4000015258789,110.68965148925781,103.51518249511719,246.46807861328125
2022-07-14,146.12564086914062,110.62999725341797,109.70954132080078,99.89850616455078,247.79441833496094
2022-07-15,147.798828125,113.55000305175781,111.11112213134766,104.47715759277344,250.3690948486328
2022-07-18,144.74777221679688,113.76000213623047,108.37999725341797,103.4041748046875,247.96022033691406
2022-07-19,148.61573791503906,118.20999908447266,113.13150787353516,105.96639251708984,253.10955810546875
2022-07-20,150.6234893798828,122.7699966430664,113.22097778320312,105.94790649414062,255.78176879882812
2022-07-21,152.8970184326172,124.62999725341797,113.6583480834961,106.66938018798828,258.2882385253906
2022-07-22,151.6569366455078,122.41999816894531,107.25674438476562,106.1513900756836,253.91905212402344
2022-07-25,150.53492736816406,121.13999938964844,106.86906433105469,106.57689666748047,252.42691040039062
2022-07-26,149.2062530517578,114.80999755859375,104.39390563964844,104.91191101074219,245.6683349609375
2022-07-27,154.3142852783203,120.97000122070312,112.385986328125,106.59539794921875,262.0917053222656
2022-07-28,154.86546325683594,122.27999877929688,113.53907012939453,106.19763946533203,269.572021484375
2022-07-29,159.9439697265625,134.9499969482422,115.62654876708984,106.70638275146484,273.7948913574219
2022-08-01,158.9597625732422,135.38999938964844,114.17524719238281,105.64264678955078,271.1324462890625
2022-08-02,157.4834442138672,134.16000366210938,114.44364166259766,103.99617767333984,268.0213317871094
2022-08-03,163.50680541992188,139.52000427246094,117.37605285644531,105.0876693725586,275.48211669921875
2022-08-04,163.19186401367188,142.57000732421875,117.48540496826172,103.93144226074219,276.6329040527344
2022-08-05,162.96517944335938,140.8000030517578,116.76969146728516,107.07637786865234,275.9112243652344
2022-08-08,162.49209594726562,139.41000366210938,116.6007080078125,105.77214813232422,273.38531494140625
2022-08-09,162.54139709472656,137.8300018310547,115.93470001220703,106.72489166259766,275.3162841796875
2022-08-10,166.799072265625,142.69000244140625,118.98638916015625,109.50908660888672,282.0065612792969
2022-08-11,166.05990600585938,140.63999938964844,118.13151550292969,111.12781524658203,279.9195251464844
2022-08-12,169.61782836914062,143.5500030517578,120.95459747314453,112.9685287475586,284.6885681152344
2022-08-15,170.692138671875,143.17999267578125,121.35221862792969,113.27378845214844,286.21002197265625
2022-08-16,170.534423828125,144.77999877929688,120.9744644165039,114.35601806640625,285.4687805175781
2022-08-17,172.03250122070312,142.10000610351562,118.83728790283203,113.3940200805664,284.7162170410156
2022-08-18,171.6382598876953,142.3000030517578,119.45359802246094,112.51528930664062,283.59228515625
2022-08-19,169.04620361328125,138.22999572753906,116.51123809814453,109.73108673095703,279.6634216308594
2022-08-22,165.1531524658203,133.22000122070312,113.55895233154297,107.91812896728516,271.4538269042969
2022-08-23,164.8180694580078,133.6199951171875,113.18121337890625,106.85437774658203,270.17352294921875
2022-08-24,165.1137237548828,133.8000030517578,113.01222229003906,107.1133804321289,269.53826904296875
2022-08-25,167.57763671875,137.27999877929688,115.95458221435547,109.65709686279297,272.5289001464844
2022-08-26,161.2601318359375,130.75,109.68220520019531,106.06814575195312,262.0127868652344
2022-08-29,159.05245971679688,129.7899932861328,108.76768493652344,105.80914306640625,259.2176513671875
2022-08-30,156.6180877685547,128.72999572753906,108.29055786132812,105.82764434814453,257.0088195800781
2022-08-31,154.95242309570312,126.7699966430664,107.57483673095703,105.19866180419922,255.5429229736328
2022-09-01,155.68174743652344,127.81999969482422,109.08576965332031,105.9201431274414,254.4971160888672
2022-09-02,153.56277465820312,127.51000213623047,107.20703887939453,105.18014526367188,250.2554931640625
2022-09-06,152.30123901367188,126.11000061035156,106.17324829101562,105.2079086303711,247.50921630859375
2022-09-07,153.71063232421875,129.47999572753906,108.7975082397461,107.20588684082031,252.23948669433594
2022-09-08,152.2322540283203,129.82000732421875,107.73387145996094,109.70333862304688,252.65972900390625
2022-09-09,155.1002655029297,133.27000427246094,109.99034881591797,110.23058319091797,258.4650573730469
2022-09-12,161.07284545898438,136.4499969482422,110.19910430908203,111.53482055664062,260.6054382324219
2022-09-13,151.62120056152344,126.81999969482422,103.6980972290039,107.65911865234375,246.27777099609375
2022-09-14,153.07000732421875,128.5500030517578,104.37403106689453,107.40937805175781,246.50254821777344
2022-09-15,150.17239379882812,126.27999877929688,102.29649353027344,109.02809143066406,239.81759643554688
2022-09-16,148.5264892578125,123.52999877929688,102.1871566772461,108.29735565185547,239.19210815429688
2022-09-19,152.25193786621094,124.66000366210938,102.45553588867188,109.29635620117188,238.9770965576172
2022-09-20,154.63706970214844,122.19000244140625,100.53704071044922,107.14112854003906,236.9540252685547
2022-09-21,151.5029296875,118.54000091552734,98.68814086914062,104.0516586303711,233.53334045410156
2022-09-22,150.53707885742188,117.30999755859375,99.54300689697266,102.86767578125,235.51734924316406
2022-09-23,148.26036071777344,113.77999877929688,98.15135192871094,100.95295715332031,232.52671813964844
2022-09-26,148.59548950195312,115.1500015258789,97.58475494384766,98.77926635742188,232.06736755371094
2022-09-27,149.57118225097656,114.41000366210938,96.91874694824219,97.90975952148438,231.05093383789062
2022-09-28,147.67886352539062,118.01000213623047,99.45355224609375,99.88924407958984,235.60531616210938
2022-09-29,140.425048828125,114.80000305175781,96.83921813964844,98.19652557373047,232.1162109375
2022-09-30,136.20675659179688,113.0,95.07977294921875,96.6610336303711,227.62049865722656
2022-10-03,140.3954620361328,115.87999725341797,98.05195617675781,99.64874267578125,235.28280639648438
2022-10-04,143.99281311035156,121.08999633789062,101.03406524658203,104.31066131591797,243.23826599121094
2022-10-05,144.2884979248047,120.94999694824219,100.8253173828125,103.02278137207031,243.55101013183594
